city,centerlon,centerlat,speed0_km
yili,82.127485,43.447256,41.18745145
urumqi,87.78256,43.733516,40.14659816
guiyang,106.710733,26.839111,39.02565158
jining,116.741155,35.36912,36.41318978
sanya,109.418667,18.363454,36.34807343
yancheng,120.199905,33.512617,35.73893197
huai_an,118.970187,33.350112,35.6540183
taizhou1,120.061065,32.56924,34.82527774
yangzhou,119.479711,32.735359,34.82509434
shantou,116.59964,23.327761,34.46825713
zhaoqing,112.210424,23.53509,34.44892978
maoming,110.958513,22.007551,34.41594244
shijiazhuang,114.445446,38.131041,34.08124809
nantong,121.04888,32.181316,33.67463795
xuzhou,117.522638,34.354254,33.51845754
quanzhou,118.269507,25.189962,33.4593798
jiaxing,120.783309,30.619673,33.06858332
zhenjiang,119.458047,32.013633,32.74625565
xining,101.438713,36.825832,32.71657252
jiangmen,112.677816,22.265163,32.09748471
taiyuan,112.322139,37.959559,31.9021799
linyi,118.286251,35.308744,31.87438127
tianjin,117.347635,39.284229,31.80614749
luoyang,112.037836,34.291147,31.8016701
dongguan,113.88018,22.931704,31.77872979
wuhu,118.140049,31.160399,31.73716257
langfang,116.633878,39.260216,31.63355452
xiamen,118.124907,24.659124,31.61254074
tangshan,118.337978,39.710267,31.56852303
nanchang,116.023713,28.646644,31.56184165
zhuhai,113.36317,22.150337,31.46457398
quzhou,118.679766,28.931381,31.4202271
shaoguan,113.779491,24.817635,31.33016437
zhengzhou,113.477292,34.625642,31.32618288
zhongshan,113.398713,22.517217,31.30501058
ordos,108.634335,39.412584,31.28600302
dezhou,116.653177,37.249041,31.06097127
xingtai,114.822445,37.213015,31.03687655
foshan,112.949876,23.003965,30.97648921
ganzhou,115.277955,25.705738,30.93064689
nanning,108.46782,23.05439,30.91437562
wuxi,120.080328,31.521983,30.80275521
suqian,118.525758,33.782874,30.74466076
hohhot,111.504801,40.592196,30.70388255
huizhou,114.507602,23.232708,30.39929675
changzhou,119.641565,31.622973,30.33959128
taizhou,121.140073,28.754959,30.2899119
mianyang,104.70626,31.846265,30.11053485
zibo,118.059119,36.608282,30.09514264
lianyungang,119.145105,34.534947,30.07744332
zhangzhou,117.458498,24.329213,29.95687318
hefei,117.360493,31.760659,29.93387701
hengyang,112.579737,26.790704,29.59451014
zhanjiang,110.169193,21.073012,29.46469506
fuzhou,119.205465,26.045429,29.21451971
xinxiang,114.09562,35.263128,29.19212933
weifang,119.07809,36.551901,29.14718829
deyang,104.438271,31.126958,29.03113166
shaoxin,120.641093,29.732085,28.79759307
handan,114.54878,36.552852,28.65634758
chengdu,103.931693,30.651207,28.53330516
jinhua,119.956799,29.114331,28.4287021
hangzhou,119.475401,29.89723,28.42519931
wuhan,114.348377,30.621754,28.40453832
chuzhou,118.107844,32.542321,28.36963315
huzhou,119.87357,30.74252,28.32800377
tai_an,117.03094,36.001801,28.25519698
suzhou,120.660424,31.381434,28.22748936
zhangjiakou,115.038236,40.866547,27.74875459
nanyang,112.289363,33.04248,27.54919441
guangzhou,113.544242,23.328294,27.49006287
xianyang,108.394648,34.78411,27.41232781
qingyuan,112.880294,24.311422,27.34256546
dalian,122.196657,39.586303,27.26425298
kunming,102.874162,25.384166,27.13802856
liuzhou,109.375126,24.944482,27.09135027
nanjing,118.848164,31.925782,27.0419717
ningbo,121.482414,29.728408,26.74030783
cangzhou,116.771083,38.26945,26.73210399
datong,113.725711,39.901618,26.70025625
jinan,117.221277,36.637302,26.69263419
nanchong,106.207272,31.193469,26.63388014
wenzhou,120.467968,27.89279,26.59178126
shenzhen,114.141845,22.642652,26.53282673
guilin,110.518134,25.352283,26.42807449
baoding,115.177286,39.022701,25.95536694
changsha,113.158303,28.223787,25.95486635
yinchuan,106.347879,38.286237,25.85245761
yantai,120.8045,37.24469,25.53640399
hongkong,114.133498,22.376035,25.33722461
harbin,127.964618,45.639399,25.32109909
chongqing,107.879617,30.055029,25.06171864
qingdao,120.150856,36.447737,24.81330691
lanzhou,103.644952,36.353182,24.50797538
beijing,116.419926,40.18802,24.26636101
xi_an,108.796549,34.105793,23.81632842
haikou,110.424141,19.849972,23.64798738
shenyang,123.143322,42.096415,23.31237971
changchun,125.590163,44.285304,23.26185075
shanghai,121.486625,31.208625,22.10399747
